SrNo,Year,Blast_Day_Type,City,Latitude,Longitude,Province,Location_Sensitivity,Space_Type,Targeted_Sect,Killed,Injured,No_of_suicide_blasts,Explosive_Wt_Kg,Temperature_C,
114,2008,Working Day,Rawalpindi,33.6058,73.0437,Punjab,High,Closed,,100,67,2,,28.89,
115,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,15,,1,100,25.69,
116,2008,Working Day,Kohat,33.5833,71.4333,KPK,High,Closed,,5,25,1,,27.71,
117,2008,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,35,70,1,150,23.44,
118,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,10,,1,,25.95,
119,2008,Working Day,North waziristan,32.9746,70.1456,KPK,High,Open,,17,5,1,,22.06,
120,2008,Working Day,Islamabad,33.7180,73.0718,Capital,Medium,Closed,,60,200,1,1000,24.41,
121,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,13,2,1,,21.01,
122,2008,Working Day,Quetta,30.2095,67.0182,Balochistan,High,Open,,14,22,1,8,23.23,
123,2008,Holiday,Peshawar,34.0043,71.5448,KPK,Medium,Closed,,5,,1,,29.45,
124,2008,Working Day,Bhakkar ,31.6216,71.0650,Punjab,Medium,Closed,,26,60,1,,29.03,
125,2008,Working Day,Islamabad,33.7180,73.0718,Capital,High,Closed,,,6,1,60,24.17,
126,2008,Working Day,Khyber Agency,34.0211,71.2874,FATA,High,Open,Christian,0,,1,,24.47,
127,2008,Working Day,Orakzai Agency,32.9746,70.1456,FATA,Low,Open,Sunni,85,90,1,,20.58,
128,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Closed,,4,,1,,19.84,
129,2008,Holiday,Mohmand agency ,32.9746,70.1456,FATA,High,Open,,10,,1,,15.35,
130,2008,Working Day,Bannu,32.9861,70.6042,KPK,High,Open,,,,1,,22.09,
131,2008,Working Day,Mardan,34.1982,72.0444,KPK,High,Closed,,10,21,1,,20.90,
132,2008,Holiday,South Waziristan,32.3202,69.8597,FATA,High,Open,,8,,1,,21.74,
133,2008,Working Day,Hangu,33.5351,71.0713,KPK,High,Open,,7,,1,40,21.11,
